adfas,adf,sdf,awe,rtea,teaf,erte,ert
1496203941.2931249142,1496203941.2954940796, -1.0710, -0.0708, -0.3569,-14.5111, -3.9062,-11.2000
1496203941.2955710888,1496203941.2979619503, -1.0913, -0.0708, -0.3569,-14.5111, -3.9062,-11.2000
1496203941.2980399132,1496203941.3004651070, -1.0913, -0.0708, -0.3569,-14.5111, -3.9062,-11.2000
1496203941.3005421162,1496203941.3029561043, -1.0913, -0.0708, -0.3569,-14.5111, -3.9062,-11.2000
1496203941.3030331135,1496203941.3054490089, -1.0913, -0.0708, -0.3569,-14.9994, -4.4708,-11.3678
1496203941.3055250645,1496203941.3079319000, -1.0913, -0.0708, -0.3569,-14.9994, -4.4708,-11.3678
1496203941.3080070019,1496203941.3104269505, -1.0913, -0.0708, -0.3569,-14.9994, -4.4708,-11.3678
1496203941.3105020523,1496203941.3129129410, -1.0913, -0.0708, -0.3569,-14.9994, -4.4708,-11.3678
1496203941.3130979538,1496203941.3155109882, -1.0913, -0.0901, -0.3335,-13.9008, -4.0741,-11.2762
1496203941.3155889511,1496203941.3180060387, -1.1028, -0.0901, -0.3335,-13.9008, -4.0741,-11.2762
1496203941.3180830479,1496203941.3204069138, -1.1028, -0.0901, -0.3335,-13.9008, -4.0741,-11.2762
1496203941.3204839230,1496203941.3227679729, -1.1028, -0.0901, -0.3335,-13.9008, -4.0741,-11.2762
1496203941.3228440285,1496203941.3251340389, -1.1028, -0.0901, -0.3335,-11.3983, -4.2877,-10.5591
1496203941.3252100945,1496203941.3274939060, -1.1028, -0.0901, -0.3335,-11.3983, -4.2877,-10.5591
1496203941.3275699615,1496203941.3298609257, -1.1028, -0.0901, -0.3335,-11.3983, -4.2877,-10.5591
1496203941.3299360275,1496203941.3322238922, -1.1028, -0.0901, -0.3335,-11.3983, -4.2877,-10.5591
1496203941.3322980404,1496203941.3345820904, -1.1028, -0.0901, -0.3516,-11.3983, -4.2877,-10.5591
1496203941.3346579075,1496203941.3369429111, -1.0850, -0.0916, -0.3516, -9.5825, -4.4556,-10.1624
1496203941.3370161057,1496203941.3394720554, -1.0850, -0.0916, -0.3516, -9.5825, -4.4556,-10.1624
1496203941.3395459652,1496203941.3418281078, -1.0850, -0.0916, -0.3516, -9.5825, -4.4556,-10.1624
1496203941.3419020176,1496203941.3441860676, -1.0850, -0.0916, -0.3516, -9.5825, -4.4556,-10.1624
1496203941.3442599773,1496203941.3465468884, -1.0850, -0.0916, -0.3516, -8.9569, -4.6082, -9.8877
1496203941.3466169834,1496203941.3489220142, -1.0850, -0.0916, -0.3516, -8.9569, -4.6082, -9.8877
1496203941.3489930630,1496203941.3514139652, -1.0850, -0.0916, -0.3516, -8.9569, -4.6082, -9.8877
1496203941.3514850140,1496203941.3538939953, -1.0850, -0.0916, -0.3516, -8.9569, -4.6082, -9.8877
1496203941.3539650440,1496203941.3563809395, -1.0906, -0.0862, -0.3430, -8.9569, -4.5319, -9.5215
1496203941.3564519882,1496203941.3588740826, -1.0906, -0.0862, -0.3430, -7.7362, -4.5319, -9.5215
1496203941.3589439392,1496203941.3613541126, -1.0906, -0.0862, -0.3430, -7.7362, -4.5319, -9.5215
1496203941.3614249229,1496203941.3638420105, -1.0906, -0.0862, -0.3430, -7.7362, -4.5319, -9.5215
1496203941.3639121056,1496203941.3663260937, -1.0906, -0.0862, -0.3430, -7.7362, -4.5319, -9.5215
1496203941.3663959503,1496203941.3688180447, -1.0906, -0.0862, -0.3430, -7.8888, -4.7607, -9.3384
1496203941.3688879013,1496203941.3711810112, -1.0906, -0.0862, -0.3430, -7.8888, -4.7607, -9.3384
1496203941.3712511063,1496203941.3735420704, -1.0906, -0.0862, -0.3430, -7.8888, -4.7607, -9.3384
1496203941.3736119270,1496203941.3759019375, -1.0920, -0.0793, -0.3608, -7.8888, -4.7607, -9.3384
1496203941.3759720325,1496203941.3782598972, -1.0920, -0.0793, -0.3608, -8.2397, -5.8289, -9.6893
1496203941.3783299923,1496203941.3807110786, -1.0920, -0.0793, -0.3608, -8.2397, -5.8289, -9.6893
