P_i,P_t,P_v,T_i,T_t,T_v
5549,1496711939.3876872063,-55.892899,5484,1496711939.2283570766,-247.543304
5816,1496711940.0424804688,415.771515,5700,1496711939.7572815418,-225.112900
5876,1496711940.1897053719,-56.076000,5868,1496711940.1699843407,-202.987701
5975,1496711940.4329044819,-45.455898,5889,1496711940.2216930389,-283.920288
6203,1496711940.9951429367,421.936005,6091,1496711940.7184286118,-231.155396
6272,1496711941.1646270752,-20.400999,6255,1496711941.1226780415,-205.993698
6405,1496711941.4916038513,-48.278801,6280,1496711941.1845459938,-302.536011
6603,1496711941.9780645370,415.817291,6487,1496711941.6932284832,-231.628403
6667,1496711942.1353006363,-14.236500,6654,1496711942.1039881706,-197.494507
6770,1496711942.3895540237,-51.757801,6676,1496711942.1576204300,-265.548706
6994,1496711942.9407038689,422.164886,6882,1496711942.6656014919,-230.575607
7058,1496711943.0983469486,-25.589001,7049,1496711943.0763285160,-197.509796
7191,1496711943.4257831573,-45.745800,7071,1496711943.1305513382,-263.168304
7384,1496711943.9012939930,428.192108,7268,1496711943.6153194904,-230.194107
7449,1496711944.0613470078,-10.513300,7436,1496711944.0295724869,-201.705902
7517,1496711944.2286250591,-52.108799,7457,1496711944.0812830925,-269.256592
7780,1496711944.8748705387,417.022705,7668,1496711944.6001443863,-221.969604
7849,1496711945.0438175201,-0.351000,7836,1496711945.0115666389,-191.833496
7961,1496711945.3181159496,-66.650398,7862,1496711945.0757746696,-233.016998
8185,1496711945.8697271347,404.434204,8077,1496711945.6037220955,-224.380493
8262,1496711946.0591626167,-18.615700,8245,1496711946.0174341202,-160.507202
8851,1496711947.5062150955,16.113300,8270,1496711946.0789990425,-226.425201
9662,1496711957.2126364708,357.070892,9537,1496711956.9050388336,-192.367599
9730,1496711957.3808844090,-46.127300,9718,1496711957.3509275913,-188.034103
9812,1496711957.5825524330,-55.542000,9743,1496711957.4126958847,-210.281403
10083,1496711958.2496271133,407.180786,9967,1496711957.9636864662,-217.193604
10147,1496711958.4069876671,-41.885399,10134,1496711958.3747344017,-196.258499
10242,1496711958.6411461830,-64.086899,10156,1496711958.4292850494,-258.270294
10478,1496711959.2216444016,423.034698,10366,1496711958.9457697868,-234.878494
10543,1496711959.3813204765,-23.727400,10534,1496711959.3593540192,-191.360504
10663,1496711959.6760573387,-52.978500,10555,1496711959.4112069607,-236.541702
10879,1496711960.2043776512,409.606903,10763,1496711959.9187409878,-231.597900
10943,1496711960.3624205589,-25.039700,10935,1496711960.3424448967,-192.276001
11060,1496711960.6494755745,-48.004200,10952,1496711960.3837854862,-268.310486
11270,1496711961.1664674282,415.817291,11158,1496711960.8915359974,-232.635498
11339,1496711961.3363685608,-10.437000,11326,1496711961.3045139313,-190.673798
11455,1496711961.6219353676,-54.565399,11347,1496711961.3563809395,-255.310104
11661,1496711962.1294345856,404.403687,11549,1496711961.8534145355,-229.812607
11729,1496711962.2972650528,-33.920300,11721,1496711962.2773935795,-181.320206
11850,1496711962.5945405960,-57.739300,11738,1496711962.3191256523,-250.854507
12056,1496711963.1013484001,418.670685,11940,1496711962.8157720566,-229.614304
